谜面,谜底,谜目,谜格,作者,出处,难度,适用年龄,标签,备注
一口咬掉牛尾巴,告,猜一字,无格,,传统字谜,2,儿童,儿童专区,
两人土上蹲,坐,猜一字,无格,,传统字谜,1,儿童,儿童专区,
十个哥哥,克,猜一字,无格,,传统字谜,2,通用,,
千里相逢,重,猜一字,无格,,传统字谜,1,儿童,儿童专区,
山上还有山,出,猜一字,无格,,传统字谜,1,儿童,儿童专区,
一百减一,白,猜一字,无格,,传统字谜,1,通用,,
七十二小时,晶,猜一字,无格,,传统字谜,2,通用,,
需要一半，留下一半,雷,猜一字,无格,,传统字谜,2,通用,,
一斗米,料,猜一字,无格,,传统字谜,2,通用,,
四面都是山，山山都相连,田,猜一字,无格,,传统字谜,2,通用,,
一只黑狗，不叫不吼,默,猜一字,无格,,传统字谜,2,通用,,
王先生白小姐坐在石头上,碧,猜一字,无格,,传统字谜,2,通用,,
上面正差一横，下面少去一点,步,猜一字,无格,,传统字谜,3,成人,,
蜜饯黄连,同甘共苦,猜成语,无格,,传统灯谜,2,通用,,
二三四五六七八九,缺衣少食,猜成语,无格,,传统灯谜,2,通用,,
逆水划船,力争上游,猜成语,无格,,传统灯谜,1,通用,,
快刀斩乱麻,迎刃而解,猜成语,无格,,传统灯谜,1,通用,,
伞兵,从天而降,猜成语,无格,,传统灯谜,1,儿童,儿童专区,
节日的焰火,五彩缤纷,猜成语,无格,,传统灯谜,1,通用,,
一块变九块,四分五裂,猜成语,无格,,传统灯谜,2,通用,,
相声,装腔作势,猜成语,无格,,传统灯谜,3,成人,,
千条线，万条线，掉到水里看不见,雨,猜一物,无格,,传统灯谜,1,儿童,儿童专区,
白嫩小宝宝，洗澡吹泡泡,肥皂,猜一物,无格,,传统灯谜,1,儿童,儿童专区,
一个小姑娘，生在水中央,荷花,猜一物,无格,,传统灯谜,2,通用,,
风平浪静,宁波,猜地名,无格,,传统灯谜,2,通用,,
倾盆大雨,天水,猜地名,无格,,传统灯谜,2,通用,,
双喜临门,重庆,猜地名,无格,,传统灯谜,2,通用,,
金银铜铁,无锡,猜地名,无格,,传统灯谜,3,通用,,
大家都笑你,齐齐哈尔,猜地名,无格,,传统灯谜,3,通用,,
今天,日本,其他,秋千格,,谜格示例,2,通用,谜格示例,秋千格倒读：日本→本日
误例：秋千格谜底须两字,哈尔滨,猜地名,秋千格,,误例集,2,通用,误例,秋千格谜底须两字，三字应判不通过
儿童图书专卖店,小题大做,猜成语,卷帘格,,谜格示例,2,通用,谜格示例,卷帘倒序读：做大题小
误例：卷帘格谜底须三字,上海,猜地名,卷帘格,,误例集,2,通用,误例,卷帘格谜底须三字以上，两字应判不通过
丈夫模样,芙蓉,猜一物,徐妃格,,谜格示例,2,通用,谜格示例,徐妃格去草字头：芙蓉→夫容
最后得利,茉莉,猜一物,徐妃格,,谜格示例,2,通用,谜格示例,徐妃格去草字头：茉莉→末利
误例：徐妃格各字须同旁,明天,其他,徐妃格,,误例集,2,通用,误例,明(日旁)与天(大旁)偏旁不一，应判不通过
水上的陆地,福州,猜地名,梨花格,,谜格示例,2,通用,谜格示例,梨花格谐音：福州→浮洲
误例：梨花格谜底须两字,雨,猜一物,梨花格,,误例集,2,通用,误例,梨花格谜底须两字以上，一字应判不通过
日近黄昏,洛阳,猜地名,白头格,,谜格示例,2,通用,谜格示例,白头格首字谐音：洛阳→落阳
圆规画鸡蛋,太原,猜地名,白头格,,谜格示例,2,通用,谜格示例,白头格首字谐音：太原→太圆
久居沙漠,长沙,猜地名,白头格,,谜格示例,2,通用,谜格示例,白头格首字谐音：长沙→常沙
误例：白头格谜底须两字,虎,猜一物,白头格,,误例集,2,通用,误例,白头格谜底须两字以上，一字应判不通过
一起飞翔,合肥,猜地名,粉底格,,谜格示例,2,通用,谜格示例,粉底格末字谐音：合肥→合飞
误例：粉底格谜底须两字,月,猜一物,粉底格,,误例集,2,通用,误例,粉底格谜底须两字以上，一字应判不通过
示范课,好为人师,猜成语,上楼格,,谜格示例,2,通用,谜格示例,上楼格末字移首读：好为人师→师好为人
误例：上楼格谜底须三字,北京,猜地名,上楼格,,误例集,2,通用,误例,上楼格谜底须三字以上，两字应判不通过
一言为重,言而有信,猜成语,下楼格,,谜格示例,2,通用,谜格示例,下楼格首字移尾读：言而有信→而有信言
误例：下楼格谜底须三字,天津,猜地名,下楼格,,误例集,2,通用,误例,下楼格谜底须三字以上，两字应判不通过
大团圆,团圆,猜成语,无格,,误例集,2,通用,误例,成语谜底应四字，应判不通过
首都别称当一字猜,北京城,猜一字,无格,,误例集,2,通用,误例,猜一字谜底应一字，应判不通过
火字叠四个,燚,猜一字,无格,,生僻字示例,3,成人,生僻字示例,谜底含生僻字，应提示现场可读
火与龙的极致,燚龘,其他,无格,,生僻字示例,3,成人,生僻字示例,谜底含两个生僻字，应判存疑
不断成长,长进,其他,无格,,多音字示例,1,通用,多音字示例,谜底含多音字「长」，应给读音提示
